input1_name,input1_qty,input1_href,input1_img,input1_bg,input2_name,input2_qty,input2_href,input2_img,input2_bg,input3_name,input3_qty,input3_href,input3_img,input3_bg,output_name,output_qty,output_href,output_img,output_bg
Ionised Cobalt,1,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83,,,,,,,,,,,Cobalt,2,https://nomansskyrecipes.com/raw/raw14,https://app.nmsassistant.com/assets/images/rawMaterials/14.png,#005C83
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,,,,,,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Sodium,2,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,,,,,,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,,,,,,Sodium,2,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15
Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,,,,,,,,,,,Pure Ferrite,1,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72
Pure Ferrite,2,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,,,,,,,,,,,Magnetised Ferrite,1,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Magnetised Ferrite,1,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72,,,,,,,,,,,Pure Ferrite,2,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72
Cadmium,2,https://nomansskyrecipes.com/raw/raw20,https://app.nmsassistant.com/assets/images/rawMaterials/20.png,#7B0000,,,,,,,,,,,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Indium,2,https://nomansskyrecipes.com/raw/raw22,https://app.nmsassistant.com/assets/images/rawMaterials/22.png,#01387D,,,,,,,,,,,Chromatic Metal,4,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Emeril,2,https://nomansskyrecipes.com/raw/raw21,https://app.nmsassistant.com/assets/images/rawMaterials/21.png,#36611C,,,,,,,,,,,Chromatic Metal,3,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Copper,2,https://nomansskyrecipes.com/raw/raw19,https://app.nmsassistant.com/assets/images/rawMaterials/19.png,#E59001,,,,,,,,,,,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Activated Cadmium,1,https://nomansskyrecipes.com/raw/raw39,https://app.nmsassistant.com/assets/images/rawMaterials/39.png,#7B0000,,,,,,,,,,,Chromatic Metal,2,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Activated Indium,1,https://nomansskyrecipes.com/raw/raw41,https://app.nmsassistant.com/assets/images/rawMaterials/41.png,#01387D,,,,,,,,,,,Chromatic Metal,4,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Activated Emeril,1,https://nomansskyrecipes.com/raw/raw40,https://app.nmsassistant.com/assets/images/rawMaterials/40.png,#36611C,,,,,,,,,,,Chromatic Metal,3,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Activated Copper,1,https://nomansskyrecipes.com/raw/raw38,https://app.nmsassistant.com/assets/images/rawMaterials/38.png,#E59001,,,,,,,,,,,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
Paraffinium,1,https://nomansskyrecipes.com/raw/raw24,https://app.nmsassistant.com/assets/images/rawMaterials/24.png,#4E404F,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Pyrite,1,https://nomansskyrecipes.com/raw/raw25,https://app.nmsassistant.com/assets/images/rawMaterials/25.png,#E57002,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Ammonia,1,https://nomansskyrecipes.com/raw/raw26,https://app.nmsassistant.com/assets/images/rawMaterials/26.png,#00A64D,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Uranium,1,https://nomansskyrecipes.com/raw/raw27,https://app.nmsassistant.com/assets/images/rawMaterials/27.png,#FFAD00,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Dioxite,1,https://nomansskyrecipes.com/raw/raw28,https://app.nmsassistant.com/assets/images/rawMaterials/28.png,#1E4FD0,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Phosphorus,1,https://nomansskyrecipes.com/raw/raw29,https://app.nmsassistant.com/assets/images/rawMaterials/29.png,#DB2400,,,,,,,,,,,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Salt,2,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42,,,,,,,,,,,Chlorine,1,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Chlorine,1,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42,,,,,,,,,,,Salt,2,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42
Sulphurine,3,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A,,,,,,,,,,,Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780
Radon,3,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780,,,,,,,,,,,Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F
Nitrogen,3,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,,,,,,,,,,,Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A
Residual Goop,1,https://nomansskyrecipes.com/raw/raw51,https://app.nmsassistant.com/assets/images/rawMaterials/51.png,#5B6F35,,,,,,,,,,,Viscous Fluids,1,https://nomansskyrecipes.com/raw/raw55,https://app.nmsassistant.com/assets/images/rawMaterials/55.png,#5B6F35
Runaway Mould,5,https://nomansskyrecipes.com/raw/raw52,https://app.nmsassistant.com/assets/images/rawMaterials/52.png,#5B6F35,,,,,,,,,,,Nanite Cluster,1,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Rusted Metal,1,https://nomansskyrecipes.com/raw/raw53,https://app.nmsassistant.com/assets/images/rawMaterials/53.png,#5B6F35,,,,,,,,,,,Ferrite Dust,2,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72
Living Slime,1,https://nomansskyrecipes.com/raw/raw54,https://app.nmsassistant.com/assets/images/rawMaterials/54.png,#5B6F35,,,,,,,,,,,Runaway Mould,1,https://nomansskyrecipes.com/raw/raw52,https://app.nmsassistant.com/assets/images/rawMaterials/52.png,#5B6F35
Viscous Fluids,1,https://nomansskyrecipes.com/raw/raw55,https://app.nmsassistant.com/assets/images/rawMaterials/55.png,#5B6F35,,,,,,,,,,,Living Slime,1,https://nomansskyrecipes.com/raw/raw54,https://app.nmsassistant.com/assets/images/rawMaterials/54.png,#5B6F35
Tritium,5,https://nomansskyrecipes.com/raw/raw7,https://app.nmsassistant.com/assets/images/rawMaterials/7.png,#DEDCD1,,,,,,,,,,,Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D
Fungal Mould,1,https://nomansskyrecipes.com/raw/raw42,https://app.nmsassistant.com/assets/images/rawMaterials/42.png,#00A64D,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Gamma Root,1,https://nomansskyrecipes.com/raw/raw44,https://app.nmsassistant.com/assets/images/rawMaterials/44.png,#C5871D,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Cactus Flesh,1,https://nomansskyrecipes.com/raw/raw45,https://app.nmsassistant.com/assets/images/rawMaterials/45.png,#239626,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Solanium,1,https://nomansskyrecipes.com/raw/raw46,https://app.nmsassistant.com/assets/images/rawMaterials/46.png,#B94318,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Star Bulb,1,https://nomansskyrecipes.com/raw/raw47,https://app.nmsassistant.com/assets/images/rawMaterials/47.png,#208DAB,,,,,,,,,,,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,,,,,,,,,,,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,,,,,,,,,,,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830
Faecium,3,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,,,,,,,,,,,Mordite,2,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741
Aronium,1,https://nomansskyrecipes.com/products/prod71,https://app.nmsassistant.com/assets/images/products/71.png,#F3A923,,,,,,,,,,,Silver,250,https://nomansskyrecipes.com/raw/raw32,https://app.nmsassistant.com/assets/images/rawMaterials/32.png,#8A7F72
Dirty Bronze,1,https://nomansskyrecipes.com/products/prod72,https://app.nmsassistant.com/assets/images/products/72.png,#F3A923,,,,,,,,,,,Silver,250,https://nomansskyrecipes.com/raw/raw32,https://app.nmsassistant.com/assets/images/rawMaterials/32.png,#8A7F72
Herox,1,https://nomansskyrecipes.com/products/prod74,https://app.nmsassistant.com/assets/images/products/74.png,#F3A923,,,,,,,,,,,Silver,250,https://nomansskyrecipes.com/raw/raw32,https://app.nmsassistant.com/assets/images/rawMaterials/32.png,#8A7F72
Lemmium,1,https://nomansskyrecipes.com/products/prod76,https://app.nmsassistant.com/assets/images/products/76.png,#F3A923,,,,,,,,,,,Gold,125,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Magno-Gold,1,https://nomansskyrecipes.com/products/prod75,https://app.nmsassistant.com/assets/images/products/75.png,#F3A923,,,,,,,,,,,Gold,125,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Grantine,1,https://nomansskyrecipes.com/products/prod73,https://app.nmsassistant.com/assets/images/products/73.png,#F3A923,,,,,,,,,,,Gold,125,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Geodesite,1,https://nomansskyrecipes.com/products/prod77,https://app.nmsassistant.com/assets/images/products/77.png,#F3A923,,,,,,,,,,,Platinum,250,https://nomansskyrecipes.com/raw/raw34,https://app.nmsassistant.com/assets/images/rawMaterials/34.png,#507575
Iridesite,1,https://nomansskyrecipes.com/products/prod78,https://app.nmsassistant.com/assets/images/products/78.png,#F3A923,,,,,,,,,,,Platinum,250,https://nomansskyrecipes.com/raw/raw34,https://app.nmsassistant.com/assets/images/rawMaterials/34.png,#507575
Cyto-Phosphate,50,https://nomansskyrecipes.com/raw/raw18,https://app.nmsassistant.com/assets/images/rawMaterials/18.png,#1E8A42,Salt,50,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42,,,,,,Glass,1,https://nomansskyrecipes.com/products/prod54,https://app.nmsassistant.com/assets/images/products/54.png,#CCCCCC
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Hexite,1,https://nomansskyrecipes.com/raw/raw4,https://app.nmsassistant.com/assets/images/rawMaterials/4.png,#DEDCD1,,,,,,Nanite Cluster,1,https://nomansskyrecipes.com/raw/raw56,https://app.nmsassistant.com/assets/images/rawMaterials/56.png,#1E354E
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Residual Goop,1,https://nomansskyrecipes.com/raw/raw51,https://app.nmsassistant.com/assets/images/rawMaterials/51.png,#5B6F35,,,,,,Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06,Silver,1,https://nomansskyrecipes.com/raw/raw32,https://app.nmsassistant.com/assets/images/rawMaterials/32.png,#8A7F72,,,,,,Platinum,1,https://nomansskyrecipes.com/raw/raw34,https://app.nmsassistant.com/assets/images/rawMaterials/34.png,#507575
Uranium,1,https://nomansskyrecipes.com/raw/raw27,https://app.nmsassistant.com/assets/images/rawMaterials/27.png,#FFAD00,Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,,,,,,Condensed Carbon,2,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A,Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,,,,,,Solanium,1,https://nomansskyrecipes.com/raw/raw46,https://app.nmsassistant.com/assets/images/rawMaterials/46.png,#B94318
Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780,Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,,,,,,Uranium,1,https://nomansskyrecipes.com/raw/raw27,https://app.nmsassistant.com/assets/images/rawMaterials/27.png,#FFAD00
Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,,,,,,Ammonia,1,https://nomansskyrecipes.com/raw/raw26,https://app.nmsassistant.com/assets/images/rawMaterials/26.png,#00A64D
Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Salt,1,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42
Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E
Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741
Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Magnetised Ferrite,1,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Magnetised Ferrite,2,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Pure Ferrite,1,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Magnetised Ferrite,2,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Pure Ferrite,1,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Magnetised Ferrite,3,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Di-hydrogen,1,https://nomansskyrecipes.com/raw/raw5,https://app.nmsassistant.com/assets/images/rawMaterials/5.png,#355A7D,Tritium,1,https://nomansskyrecipes.com/raw/raw7,https://app.nmsassistant.com/assets/images/rawMaterials/7.png,#DEDCD1,,,,,,Deuterium,1,https://nomansskyrecipes.com/raw/raw6,https://app.nmsassistant.com/assets/images/rawMaterials/6.png,#355A7D
Pure Ferrite,1,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Rusted Metal,2,https://nomansskyrecipes.com/raw/raw53,https://app.nmsassistant.com/assets/images/rawMaterials/53.png,#5B6F35
Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Rusted Metal,1,https://nomansskyrecipes.com/raw/raw53,https://app.nmsassistant.com/assets/images/rawMaterials/53.png,#5B6F35
Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Condensed Carbon,5,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Condensed Carbon,6,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
